ano,conta_alfa,coeff,versao
2013,CFIndustBenef,593.1013622830038,corrigida IPCA
2013,CGIndustTransf,624.0169012520346,corrigida IPCA
2013,CHAtacado,1296.1312528211408,corrigida IPCA
2013,CIVarejoUrbano,293.6738215970525,corrigida IPCA
2014,AAProdução,17.38128599993729,corrigida IPCA
2014,ACVarejoRural,308.4268706826626,corrigida IPCA
2014,AFIndustBenef,599.1043101916512,corrigida IPCA
2014,AGIndustTransf,691.8814411033773,corrigida IPCA
2014,AHAtacado,1326.897429513126,corrigida IPCA
2014,AIVarejoUrbano,308.4268706826626,corrigida IPCA
2014,BFIndustBenef,599.1043101916512,corrigida IPCA
2014,BGIndustTransf,691.8814411033773,corrigida IPCA
2014,BHAtacado,1326.897429513126,corrigida IPCA
2014,BIVarejoUrbano,308.4268706826626,corrigida IPCA
2014,CFIndustBenef,599.1043101916512,corrigida IPCA
2014,CGIndustTransf,691.8814411033773,corrigida IPCA
2014,CHAtacado,1326.897429513126,corrigida IPCA
2014,CIVarejoUrbano,308.4268706826626,corrigida IPCA
2015,AAProdução,15.941724352365334,corrigida IPCA
2015,ACVarejoRural,309.1530114738555,corrigida IPCA
2015,AFIndustBenef,605.4899813509178,corrigida IPCA
2015,AGIndustTransf,728.254480657213,corrigida IPCA
2015,AHAtacado,1340.621562546663,corrigida IPCA
2015,AIVarejoUrbano,309.1530114738555,corrigida IPCA
2015,BFIndustBenef,605.4899813509178,corrigida IPCA
2015,BGIndustTransf,728.254480657213,corrigida IPCA
2015,BHAtacado,1340.621562546663,corrigida IPCA
2015,BIVarejoUrbano,309.1530114738555,corrigida IPCA
2015,CFIndustBenef,605.4899813509178,corrigida IPCA
2015,CGIndustTransf,728.254480657213,corrigida IPCA
2015,CHAtacado,1340.621562546663,corrigida IPCA
2015,CIVarejoUrbano,309.1530114738555,corrigida IPCA
2016,AAProdução,14.66046552018533,corrigida IPCA
2016,ACVarejoRural,305.47960008609306,corrigida IPCA
2016,AFIndustBenef,606.3456115077577,corrigida IPCA
2016,AGIndustTransf,691.2341590350608,corrigida IPCA
2016,AHAtacado,1346.8254305777075,corrigida IPCA
2016,AIVarejoUrbano,305.47960008609306,corrigida IPCA
2016,BFIndustBenef,606.3456115077577,corrigida IPCA
2016,BGIndustTransf,691.2341590350608,corrigida IPCA
2016,BHAtacado,1346.8254305777075,corrigida IPCA
2016,BIVarejoUrbano,305.47960008609306,corrigida IPCA
2016,CFIndustBenef,606.3456115077577,corrigida IPCA
2016,CGIndustTransf,691.2341590350608,corrigida IPCA
2016,CHAtacado,1346.8254305777075,corrigida IPCA
2016,CIVarejoUrbano,305.47960008609306,corrigida IPCA
2017,AAProdução,14.172053057051798,corrigida IPCA
2017,ACVarejoRural,305.8625958290836,corrigida IPCA
2017,AFIndustBenef,587.0100813972566,corrigida IPCA
2017,AGIndustTransf,689.5812286482679,corrigida IPCA
2017,AHAtacado,1331.7791343463682,corrigida IPCA
